session,datetime,id,approved,listMd5,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,tool_meas_x,tool_meas_y,tool_meas_z,tool_pred_x,tool_pred_y,tool_pred_z,tool_residual_m,note,gitHash
2026-09-26T14:32:37,2026-09-26 14:35:21,S09,1,d248fc76baa653bafbef938922b679ae,-29.63,56.24,139.08,-127.26,16.97,54.16,86.15,0.1973,0.6374,0.1436,0.1923,0.5584,0.1725,0.0843,"",c1e1330
2026-09-26T14:32:37,2026-09-26 14:35:30,S10,1,d248fc76baa653bafbef938922b679ae,40.28,38.43,221.94,-116.13,12.45,36.74,56.84,0.2255,-0.7039,0.2330,0.2011,-0.6307,0.2630,0.0828,"",c1e1330
2026-09-26T14:32:37,2026-09-26 14:35:42,S11,1,d248fc76baa653bafbef938922b679ae,16.35,-45.24,230.85,-78.76,2.60,55.74,95.54,-0.4537,-0.2222,1.0858,-0.4080,-0.2173,1.0129,0.0861,"",c1e1330
2026-09-26T14:32:37,2026-09-26 14:35:54,S12,1,d248fc76baa653bafbef938922b679ae,70.97,63.58,196.04,-71.98,-34.29,51.40,73.69,0.0395,-0.9465,0.2977,0.0498,-0.8660,0.2922,0.0813,"",c1e1330
2026-09-26T14:32:37,2026-09-26 14:36:07,S13,1,d248fc76baa653bafbef938922b679ae,-16.96,-58.30,102.94,-62.02,-24.66,4.49,134.37,-0.7310,0.3731,0.7912,-0.6753,0.3144,0.7603,0.0867,"",c1e1330
2026-09-26T14:32:37,2026-09-26 14:36:25,S14,1,d248fc76baa653bafbef938922b679ae,106.55,80.73,191.85,-20.45,54.11,47.11,14.27,-0.0849,-1.0279,0.3477,-0.1203,-0.9512,0.3390,0.0848,"",c1e1330
2026-09-26T15:03:56,2026-09-26 15:04:09,Z00,1,d248fc76baa653bafbef938922b679ae,-9.64,9.62,195.02,-111.03,8.01,66.03,100.78,0.5782,-0.0003,0.7075,0.5780,0.0045,0.7049,0.0055,"",c1e1330
2026-09-26T15:03:56,2026-09-26 15:04:18,S00,1,d248fc76baa653bafbef938922b679ae,0.00,15.01,180.00,-130.01,-0.00,55.00,90.00,0.5786,-0.0054,0.4361,0.5777,0.0013,0.4336,0.0072,"",c1e1330
2026-09-26T15:03:56,2026-09-26 15:04:31,S01,1,d248fc76baa653bafbef938922b679ae,-6.43,5.67,182.75,-126.99,-13.76,57.38,83.07,0.5498,-0.0264,0.5610,0.5500,-0.0198,0.5589,0.0069,"",c1e1330
2026-09-26T15:03:56,2026-09-26 15:04:39,S02,1,d248fc76baa653bafbef938922b679ae,-10.25,-4.57,197.85,-119.85,-1.70,54.64,104.06,0.4997,-0.0874,0.7123,0.5009,-0.0819,0.7094,0.0064,"",c1e1330
2026-09-26T15:03:56,2026-09-26 15:04:47,S03,1,d248fc76baa653bafbef938922b679ae,6.75,16.69,182.41,-115.63,-17.02,44.29,95.53,0.6185,-0.1609,0.4817,0.6195,-0.1547,0.4803,0.0064,"",c1e1330
2026-09-26T15:03:56,2026-09-26 15:05:20,S04,1,d248fc76baa653bafbef938922b679ae,-2.19,19.52,160.57,-110.60,-4.41,41.81,90.85,0.6365,0.1929,0.4971,0.6321,0.1983,0.4975,0.0069,"",c1e1330
2026-09-26T15:03:56,2026-09-26 15:06:07,S05,1,d248fc76baa653bafbef938922b679ae,2.33,35.13,196.77,-109.01,-19.71,39.48,72.48,0.6545,-0.2535,0.3186,0.6561,-0.2481,0.3168,0.0059,"",c1e1330
2026-09-26T15:03:56,2026-09-26 15:06:28,S06,1,d248fc76baa653bafbef938922b679ae,-21.31,-6.76,158.29,-119.19,-7.94,31.13,68.33,0.3920,0.3514,0.6231,0.3867,0.3538,0.6207,0.0063,"",c1e1330
2026-09-26T15:03:56,2026-09-26 15:06:38,S07,1,d248fc76baa653bafbef938922b679ae,26.42,30.29,205.51,-105.84,-21.85,32.70,64.75,0.4334,-0.5558,0.3878,0.4374,-0.5524,0.3849,0.0060,"",c1e1330
2026-09-26T15:03:56,2026-09-26 15:06:49,S08,1,d248fc76baa653bafbef938922b679ae,-34.25,31.85,176.25,-120.26,28.28,61.36,104.00,0.4348,0.4755,0.3520,0.4278,0.4775,0.3515,0.0073,"",c1e1330
2026-09-26T15:03:56,2026-09-26 15:07:03,S09,1,d248fc76baa653bafbef938922b679ae,-29.63,56.24,139.08,-127.26,16.97,54.16,86.15,0.2020,0.5574,0.1662,0.1923,0.5584,0.1725,0.0117,"",c1e1330
2026-09-26T15:03:56,2026-09-26 15:08:26,S10,1,d248fc76baa653bafbef938922b679ae,40.28,38.43,221.94,-116.13,12.45,36.75,56.84,0.1988,-0.6334,0.2687,0.2011,-0.6307,0.2630,0.0067,"",c1e1330
2026-09-26T15:03:56,2026-09-26 15:08:44,S11,1,d248fc76baa653bafbef938922b679ae,16.35,-45.24,230.85,-78.76,2.60,55.74,95.54,-0.4184,-0.2162,1.0099,-0.4080,-0.2173,1.0129,0.0110,"",c1e1330
2026-09-26T15:03:56,2026-09-26 15:08:58,S12,1,d248fc76baa653bafbef938922b679ae,70.97,63.58,196.04,-71.98,-34.29,51.40,73.69,0.0438,-0.8650,0.2916,0.0498,-0.8660,0.2922,0.0061,"",c1e1330
2026-09-26T15:03:56,2026-09-26 15:09:11,S13,1,d248fc76baa653bafbef938922b679ae,-16.96,-58.30,102.94,-62.02,-24.66,4.49,134.37,-0.6804,0.3148,0.7620,-0.6753,0.3144,0.7603,0.0054,"",c1e1330
2026-09-26T15:03:56,2026-09-26 15:09:26,S14,1,d248fc76baa653bafbef938922b679ae,106.55,80.72,191.85,-20.45,54.11,47.11,14.27,-0.1207,-0.9517,0.3401,-0.1202,-0.9512,0.3390,0.0012,"",c1e1330
