table,condId,quantity,value,source
setpoint_hw,S10_nom/S09,d0_mm,685.0293923133897,S10_nom/S10_nom_S09_r01_20260926_151828.mat;S10_nom/S10_nom_S09_r02_20260926_153022.mat
setpoint_hw,S10_nom/S09,final_mm_mean,15.191816772268403,S10_nom/S10_nom_S09_r01_20260926_151828.mat;S10_nom/S10_nom_S09_r02_20260926_153022.mat
setpoint_hw,S10_nom/S09,closest_mm_mean,15.191816772268403,S10_nom/S10_nom_S09_r01_20260926_151828.mat;S10_nom/S10_nom_S09_r02_20260926_153022.mat
setpoint_hw,S10_nom/S09,successes,2,S10_nom/S10_nom_S09_r01_20260926_151828.mat;S10_nom/S10_nom_S09_r02_20260926_153022.mat
setpoint_hw,S10_nom/S09,runs,2,S10_nom/S10_nom_S09_r01_20260926_151828.mat;S10_nom/S10_nom_S09_r02_20260926_153022.mat
setpoint_hw,S10_nom/S11,d0_mm,890.5249209047977,S10_nom/S10_nom_S11_r01_20260926_151922.mat;S10_nom/S10_nom_S11_r02_20260926_152934.mat
setpoint_hw,S10_nom/S11,final_mm_mean,4.9822298248567645,S10_nom/S10_nom_S11_r01_20260926_151922.mat;S10_nom/S10_nom_S11_r02_20260926_152934.mat
setpoint_hw,S10_nom/S11,closest_mm_mean,4.9822298248567645,S10_nom/S10_nom_S11_r01_20260926_151922.mat;S10_nom/S10_nom_S11_r02_20260926_152934.mat
setpoint_hw,S10_nom/S11,successes,2,S10_nom/S10_nom_S11_r01_20260926_151922.mat;S10_nom/S10_nom_S11_r02_20260926_152934.mat
setpoint_hw,S10_nom/S11,runs,2,S10_nom/S10_nom_S11_r01_20260926_151922.mat;S10_nom/S10_nom_S11_r02_20260926_152934.mat
setpoint_hw,S10_nom/S12,d0_mm,918.7933368950249,S10_nom/S10_nom_S12_r01_20260926_152155.mat;S10_nom/S10_nom_S12_r02_20260926_152906.mat
setpoint_hw,S10_nom/S12,final_mm_mean,17.429974080870686,S10_nom/S10_nom_S12_r01_20260926_152155.mat;S10_nom/S10_nom_S12_r02_20260926_152906.mat
setpoint_hw,S10_nom/S12,closest_mm_mean,17.417602249154864,S10_nom/S10_nom_S12_r01_20260926_152155.mat;S10_nom/S10_nom_S12_r02_20260926_152906.mat
setpoint_hw,S10_nom/S12,successes,2,S10_nom/S10_nom_S12_r01_20260926_152155.mat;S10_nom/S10_nom_S12_r02_20260926_152906.mat
setpoint_hw,S10_nom/S12,runs,2,S10_nom/S10_nom_S12_r01_20260926_152155.mat;S10_nom/S10_nom_S12_r02_20260926_152906.mat
setpoint_hw,S10_nom/S14,d0_mm,1101.5751750176141,S10_nom/S10_nom_S14_r01_20260926_152316.mat;S10_nom/S10_nom_S14_r02_20260926_152758.mat
setpoint_hw,S10_nom/S14,final_mm_mean,8.08604122015264,S10_nom/S10_nom_S14_r01_20260926_152316.mat;S10_nom/S10_nom_S14_r02_20260926_152758.mat
setpoint_hw,S10_nom/S14,closest_mm_mean,8.08604122015264,S10_nom/S10_nom_S14_r01_20260926_152316.mat;S10_nom/S10_nom_S14_r02_20260926_152758.mat
setpoint_hw,S10_nom/S14,successes,2,S10_nom/S10_nom_S14_r01_20260926_152316.mat;S10_nom/S10_nom_S14_r02_20260926_152758.mat
setpoint_hw,S10_nom/S14,runs,2,S10_nom/S10_nom_S14_r01_20260926_152316.mat;S10_nom/S10_nom_S14_r02_20260926_152758.mat
setpoint_hw,S10_nom/S13,d0_mm,1114.1346830053697,S10_nom/S10_nom_S13_r01_20260926_152248.mat;S10_nom/S10_nom_S13_r02_20260926_152838.mat
setpoint_hw,S10_nom/S13,final_mm_mean,18.905200854969927,S10_nom/S10_nom_S13_r01_20260926_152248.mat;S10_nom/S10_nom_S13_r02_20260926_152838.mat
setpoint_hw,S10_nom/S13,closest_mm_mean,18.86155327874656,S10_nom/S10_nom_S13_r01_20260926_152248.mat;S10_nom/S10_nom_S13_r02_20260926_152838.mat
setpoint_hw,S10_nom/S13,successes,2,S10_nom/S10_nom_S13_r01_20260926_152248.mat;S10_nom/S10_nom_S13_r02_20260926_152838.mat
setpoint_hw,S10_nom/S13,runs,2,S10_nom/S10_nom_S13_r01_20260926_152248.mat;S10_nom/S10_nom_S13_r02_20260926_152838.mat
setpoint_hw,S10_nom,success_rate_50mm,1.0,S10_nom/S10_nom_S00_r01_20260926_151501.mat;S10_nom/S10_nom_S00_r02_20260926_153433.mat;S10_nom/S10_nom_S01_r01_20260926_151350.mat;S10_nom/S10_nom_S01_r02_20260926_153355.mat;S10_nom/S10_nom_S02_r01_20260926_151312.mat;S10_nom/S10_nom_S02_r02_20260926_153337.mat;S10_nom/S10_nom_S03_r01_20260926_151418.mat;S10_nom/S10_nom_S03_r02_20260926_153321.mat;S10_nom/S10_nom_S04_r01_20260926_151559.mat;S10_nom/S10_nom_S04_r02_20260926_153254.mat;S10_nom/S10_nom_S05_r01_20260926_151652.mat;S10_nom/S10_nom_S05_r02_20260926_153212.mat;S10_nom/S10_nom_S06_r01_20260926_151714.mat;S10_nom/S10_nom_S06_r02_20260926_153152.mat;S10_nom/S10_nom_S07_r01_20260926_151736.mat;S10_nom/S10_nom_S07_r02_20260926_153127.mat;S10_nom/S10_nom_S08_r01_20260926_151802.mat;S10_nom/S10_nom_S08_r02_20260926_153059.mat;S10_nom/S10_nom_S09_r01_20260926_151828.mat;S10_nom/S10_nom_S09_r02_20260926_153022.mat;S10_nom/S10_nom_S10_r01_20260926_151854.mat;S10_nom/S10_nom_S10_r02_20260926_152955.mat;S10_nom/S10_nom_S11_r01_20260926_151922.mat;S10_nom/S10_nom_S11_r02_20260926_152934.mat;S10_nom/S10_nom_S12_r01_20260926_152155.mat;S10_nom/S10_nom_S12_r02_20260926_152906.mat;S10_nom/S10_nom_S13_r01_20260926_152248.mat;S10_nom/S10_nom_S13_r02_20260926_152838.mat;S10_nom/S10_nom_S14_r01_20260926_152316.mat;S10_nom/S10_nom_S14_r02_20260926_152758.mat
