set,start,level_m,agent,model,base_mass,noise,explore,seed,d0,final_err,min_err,t_end,converged,failed,success50,settle_t,frac_softzone_J2,frac_softzone_J4,frac_softzone_J6,qmax_deg_J2,qmax_deg_J4,qmax_deg_J6,frac_atlim,frac_beyond_hw,ori_max,ret
fixed1_train,S10,0.7,fixed1,SK_point_fixed,65,0,0,0,0.682487871597604,0.0154615814623081,0.0154615814623081,4.5,1,0,1,3.42,0,0,0,38.42,116.13,80.6854579508327,0,0,0,2410.65299564033
fixed1_noise,S10,0.7,fixed1,SK_point_fixed,65,1,0,11,0.682487871597604,0.0145760411881917,0.0145445782899117,4.6,1,0,1,3.38,0,0,0,38.42,116.13,81.5987720239614,0,0,0,2426.77376253359
fixed1_train,S11,0.9,fixed1,SK_point_fixed,65,0,0,0,0.890442425466246,0.0151451559438612,0.0151451559438612,8.4,1,0,1,7.28,0,0,0,45.23,96.5236946685105,90.5114787505662,0,0,0,1909.09550075651
fixed1_noise,S11,0.9,fixed1,SK_point_fixed,65,1,0,12,0.890442425466246,0.0152889888167316,0.0152889888167316,8.4,1,0,1,7.26,0,0,0,45.23,96.6302449253024,90.6779864434549,0,0,0,1907.58134502899
fixed1_train,S12,0.9,fixed1,SK_point_fixed,65,0,0,0,0.918717223021182,0.0184525084813554,0.0176886217980972,5.8,1,0,1,4.52,0,0,0.164948453608247,63.57,91.3937182385774,113.943242444367,0,0,0,2020.39449877309
fixed1_noise,S12,0.9,fixed1,SK_point_fixed,65,1,0,13,0.918717223021182,0.0174325081166555,0.0171803962004053,5.7,1,0,1,4.5,0,0,0.15034965034965,63.57,91.43292203562,113.131421753344,0,0,0,2014.46379774174
fixed1_train,S13,1.1,fixed1,SK_point_fixed,65,0,0,0,1.11407113035913,0.0194887834734498,0.0194887834734498,11.6,1,0,1,9.68,0,0,0,58.29,93.448813726919,104.953648761259,0,0,0,1102.41864639762
fixed1_noise,S13,1.1,fixed1,SK_point_fixed,65,1,0,14,1.11407113035913,0.0190847170703589,0.0190847170703589,11.6,1,0,1,9.68,0,0,0,58.29,93.4458884320492,104.769028244863,0,0,0,1100.29227046118
fixed1_train,S14,1.1,fixed1,SK_point_fixed,65,0,0,0,1.10149082991706,0.0160307092639566,0.0160307092639566,5.8,1,0,1,4.5,0,0,0.40893470790378,80.71,82.3821857685544,115.164516821295,0.34020618556701,0,0,1634.88489023302
fixed1_noise,S14,1.1,fixed1,SK_point_fixed,65,1,0,15,1.10149082991706,0.0162054135002887,0.0162054135002887,5.8,1,0,1,4.5,0,0,0.40893470790378,80.71,82.5032432728744,115.164516821295,0.34020618556701,0,0,1634.7813992818
fixed1_train,OOD,NaN,fixed1,SK_point_fixed,65,0,0,0,1.42565007995499,0.0194908057854433,0.0194908057854433,15.3,1,0,1,12.6,0,0,0.373368146214099,90,90.9564290305803,115.164516821295,0.330287206266319,0,0,-302.170604656094
fixed1_noise,OOD,NaN,fixed1,SK_point_fixed,65,1,0,16,1.42565007995499,0.0193022623374275,0.0193022623374275,15.1,1,0,1,12.68,0,0,0.363756613756614,90,91.0672636530235,115.164516821295,0.321428571428571,0,0,-314.380085893829
