set,start,level_m,agent,model,base_mass,noise,explore,seed,d0,final_err,min_err,t_end,converged,failed,success50,settle_t,frac_softzone_J2,frac_softzone_J4,frac_softzone_J6,qmax_deg_J2,qmax_deg_J4,qmax_deg_J6,frac_atlim,frac_beyond_hw,ori_max,ret
rand2_free65,S12,0.9,rand2,SK_point,65,0,0,0,0.918717223021182,0.0457622285260745,0.0457622285260745,25,0,0,1,21.86,0,0,0.293365307753797,63.57,109.237515466101,115.164516821295,0.20863309352518,0,0.183472653276288,-2985.7369150524
fixed1_free65,S13,1.1,fixed1,SK_point,65,0,0,0,1.11407113035913,0.131133059321691,0.0795518907010533,25,0,0,0,NaN,0,0,0.53796962430056,65.8566260021517,67.4611972959957,115.164516821295,0.503597122302158,0,0.279864689567673,-5068.07093477583
rand2_free65,S13,1.1,rand2,SK_point,65,0,0,0,1.11407113035913,0.112046626175721,0.0643086610050394,25,0,0,0,NaN,0,0,0,58.29,75.6794873614623,26.1898185598178,0.727418065547562,0,0.271019833706694,-4365.46484069779
fixed1_free65,S14,1.1,fixed1,SK_point,65,0,0,0,1.10149082991706,0.0762848307590505,0.0753474707559283,25,0,0,0,NaN,0,0,0.863309352517986,80.71,72.4618683984395,115.164516821295,0.847322142286171,0,0.265125830375827,-4159.33214048436
rand2_free65,S14,1.1,rand2,SK_point,65,0,0,0,1.10149082991706,0.13382466127699,0.0972902881838012,25,0,0,0,NaN,0,0,0.564348521183054,80.71,106.804330286725,115.164516821295,0.521982414068745,0,0.267028752355298,-5465.38481986086
fixed1_free65,OOD,NaN,fixed1,SK_point,65,0,0,0,1.42565007995499,0.207132277657767,0.189128498250878,25,0,0,0,NaN,0,0,0.589928057553957,90.9328176494058,68.7146171262502,115.164516821295,0.566746602717826,0,0.386692823626594,-8681.99374804013
rand2_free65,OOD,NaN,rand2,SK_point,65,0,0,0,1.42565007995499,0.172845002208659,0.11451442165575,25,0,0,0,NaN,0,0,0,90,71.8773812750059,28.7291284538691,0.438049560351719,0,0.386228769032308,-7842.66505855521
tab7_stoch_65kg,OOD,NaN,rand2,SK_point,65,0,1,1,1.42565007995499,0.160710373573721,0.10411083440538,25,0,0,0,NaN,0,0,0,90,72.5598513822579,10.9829870806207,0.391686650679456,0,0.364624472398356,-11523.2238391204
tab7_stoch_65kg,OOD,NaN,rand2,SK_point,65,0,1,2,1.42565007995499,0.164953785769006,0.104932298440777,25,0,0,0,NaN,0,0,0,90.4963220360022,68.2598169305134,20.7259193428437,0.333333333333333,0,0.379569891225563,-12611.1839918642
tab7_stoch_65kg,OOD,NaN,rand2,SK_point,65,0,1,3,1.42565007995499,0.20203720990209,0.146307156318664,25,0,0,0,NaN,0,0,0,90,81.2814453804539,76.2336068999241,0.0167865707434053,0,0.377992335658895,-13043.2521382553
tab7_stoch_65kg,OOD,NaN,rand2,SK_point,65,0,1,4,1.42565007995499,0.160109868216946,0.108012694438834,25,0,0,0,NaN,0,0,0,90,68.7933737434671,29.60945977943,0.319744204636291,0,0.381424922594536,-11668.78738644
tab7_stoch_65kg,OOD,NaN,rand2,SK_point,65,0,1,5,1.42565007995499,0.115238529345256,0.0969028402958773,25,0,0,0,NaN,0,0,0,90,67.9970197367548,33.3610808580803,0.211830535571543,0,0.341214671345643,-13830.2903784487
tab7_stoch_65kg,OOD,NaN,rand2,SK_point,65,0,1,6,1.42565007995499,0.219669679118237,0.181320875552292,25,0,0,0,NaN,0,0,0,90,84.8175995167245,95.3960678903386,0,0,0.376053164644559,-13294.7875389617
tab7_stoch_65kg,OOD,NaN,rand2,SK_point,65,0,1,7,1.42565007995499,0.209733511880625,0.0886817314926088,25,0,0,0,NaN,0,0,0,90,73.6320942922748,24.0975830186351,0.284572342126299,0,0.391114842625962,-12742.946163998
tab7_stoch_65kg,OOD,NaN,rand2,SK_point,65,0,1,8,1.42565007995499,0.186183103336399,0.110743445953346,25,0,0,0,NaN,0,0,0,90,73.8628446276602,23.2365555224124,0.449240607513989,0,0.37432360950577,-11633.3246628928
tab7_stoch_65kg,OOD,NaN,rand2,SK_point,65,0,1,9,1.42565007995499,0.211782133872676,0.110769182649442,25,0,0,0,NaN,0,0,0,90,72.5036470050501,24.5332351476913,0.385291766586731,0,0.376246205109377,-12301.4536043754
tab7_stoch_65kg,OOD,NaN,rand2,SK_point,65,0,1,10,1.42565007995499,0.194497778998777,0.0982199645721006,25,0,0,0,NaN,0,0,0,90.4512618754638,68.7814894691915,17.6443681860886,0.336530775379696,0,0.378432873414211,-12374.8371594961
tab7_stoch_65kg,OOD,NaN,rand2,SK_point,65,0,1,11,1.42565007995499,0.190445760531357,0.113063532134841,25,0,0,0,NaN,0,0,0,90.2800044744793,77.4065503150472,32.8176615857961,0.269384492406075,0,0.387871371616117,-12235.9320019314
