cond,seed,agent,explore,K1_mse,K2_max,K3_ori_mean,K7_return,completed,stop_reason
combined,3,CDR2-4,1,0.00493034548119815,0.197175033157159,0.0123760410851454,1255.74087506777,1,none
combined,4,CDR2-4,1,0.0051235564338421,0.198148044022563,0.0127990251264622,1152.55594054336,1,none
combined,5,CDR2-4,1,0.00549297227949655,0.204105524157213,0.0099650618763816,1128.51736144411,1,none
combined,6,CDR2-4,1,0.00534397033869837,0.200800872876689,0.0118142096174763,1116.14405820068,1,none
combined,7,CDR2-4,1,0.00499234050897889,0.1967084290521,0.0120509500797873,1132.35985258001,1,none
combined,8,CDR2-4,1,0.00536456779952714,0.20180532140019,0.0109465669479939,1221.49079040365,1,none
combined,9,CDR2-4,1,0.00488776552899188,0.196450408236154,0.0124358374916817,1208.39724879435,1,none
combined,10,CDR2-4,1,0.00443627851127475,0.190020924298987,0.0128137948945188,1162.10019805975,1,none
mass25,0,CDR1-4,0,0.00974912141802568,0.257142273786172,0.0197397852182109,875.450698522896,1,none
mass25,1,CDR1-4,1,0.00953645467716526,0.257313642876253,0.017235793506744,988.16278552808,1,none
mass25,2,CDR1-4,1,0.00955069330077041,0.257599451301257,0.0155464127797459,1087.10580332691,1,none
mass25,3,CDR1-4,1,0.00931378492669935,0.255192020559461,0.0156047381041872,1072.83450218339,1,none
mass25,4,CDR1-4,1,0.00953717324400871,0.255723048124374,0.0161652990965271,1025.58341826169,1,none
mass25,5,CDR1-4,1,0.00946211965706265,0.25665235906436,0.0155307892630407,1074.17725898606,1,none
mass25,6,CDR1-4,1,0.00920009560114637,0.254347492350675,0.013872061231513,1175.32063574897,1,none
mass25,7,CDR1-4,1,0.00912384283786833,0.251537070204836,0.0154885201405338,1084.54378562199,1,none
mass25,8,CDR1-4,1,0.00955494435435844,0.25657406058057,0.0154883636057856,1077.16141486065,1,none
mass25,9,CDR1-4,1,0.0094475377638712,0.253762636491539,0.0157511784640103,1062.06610245587,1,none
mass25,10,CDR1-4,1,0.00944578751638818,0.255961739114688,0.0134146685577569,1281.84644757291,1,none
combined,0,CDR1-4,0,0.0097518290810612,0.257155592184388,0.0198613490941837,879.345820097419,1,none
combined,1,CDR1-4,1,0.00956559801792967,0.257695828598983,0.0175375777384909,987.77051314969,1,none
combined,2,CDR1-4,1,0.00956330334079272,0.257744708050178,0.015960116605684,1047.68118674363,1,none
combined,3,CDR1-4,1,0.00931041575788772,0.255021007588402,0.0156385644991164,1047.70349581432,1,none
combined,4,CDR1-4,1,0.00957962006490808,0.255959854408934,0.0171894518772436,996.015360966543,1,none
combined,5,CDR1-4,1,0.00947409101027094,0.256789704948626,0.0155974010914857,1003.86946216271,1,none
combined,6,CDR1-4,1,0.00922576751771689,0.25450245489721,0.0148637459346646,1062.78690869761,1,none
combined,7,CDR1-4,1,0.00913724277705427,0.251555535329181,0.0156275252266021,1057.24993048038,1,none
combined,8,CDR1-4,1,0.00956191843080456,0.256709689811363,0.0155444978426462,1068.90739995681,1,none
combined,9,CDR1-4,1,0.00943206780093701,0.253512652787879,0.0159227872924856,1041.90934672685,1,none
combined,10,CDR1-4,1,0.00946486840518313,0.256229063047398,0.0137715861386886,1235.50405775921,1,none
nominal,0,Optimized,0,0.00357216047671168,0.176134283029457,0.00768577649445755,1593.08362366292,1,none
nominal,1,Optimized,1,0.00409472291103395,0.185294999551824,0.00718269782755379,1527.96454393384,1,none
nominal,2,Optimized,1,0.00386295587577184,0.181342880854764,0.00760705606044402,1534.98528335203,1,none
nominal,3,Optimized,1,0.00386043516562967,0.183798394129275,0.00742865891567583,1540.43055969335,1,none
nominal,4,Optimized,1,0.00399726122507831,0.183386187715627,0.00752247895493252,1528.07259781489,1,none
nominal,5,Optimized,1,0.00399386944933286,0.183869098333729,0.00687539870890271,1534.94667631398,1,none
nominal,6,Optimized,1,0.00420497770195948,0.186934378636997,0.00738520721156,1519.54390172153,1,none
nominal,7,Optimized,1,0.00367740931191574,0.17770608021208,0.00785867046725867,1553.31592642732,1,none
nominal,8,Optimized,1,0.00421825272662483,0.187253433075518,0.00704184073786969,1526.386557565,1,none
nominal,9,Optimized,1,0.00372118277241231,0.180306387545369,0.00767985187559673,1537.98399332324,1,none
nominal,10,Optimized,1,0.00362530701114182,0.178270530238852,0.00818986107962515,1566.34715675007,1,none
mirrored,0,Optimized,0,0.065788574938367,0.33294706317603,0.0121692080767822,279.714083108221,1,none
mirrored,1,Optimized,1,0.071302080771876,0.349231983250081,0.0103127474458099,204.03852009291,1,none
mirrored,2,Optimized,1,0.0673302664553035,0.341768218630251,0.0120033927497887,222.942693759426,1,none
mirrored,3,Optimized,1,0.0701071282245084,0.345317277992246,0.0115093978281573,203.498549640261,1,none
mirrored,4,Optimized,1,0.0701244570971681,0.344580516901998,0.0112592286039901,207.819502593596,1,none
