cond,seed,agent,explore,K1_mse,K2_max,K3_ori_mean,K7_return,completed,stop_reason
nominal,1,Trajectory2,1,0.00308925953444648,0.157859830819573,0.0103177694864707,1384.96846813507,1,none
nominal,2,Trajectory2,1,0.00303455023634652,0.156567658286276,0.0105721122797117,1385.21706568711,1,none
nominal,3,Trajectory2,1,0.00298152458721828,0.156722215329306,0.0105177061745033,1381.64897728005,1,none
nominal,4,Trajectory2,1,0.00303126935853146,0.156944213290593,0.0105234810259821,1392.24981099092,1,none
nominal,5,Trajectory2,1,0.00308639985689327,0.158215276446642,0.0102240989228925,1383.06352720712,1,none
nominal,6,Trajectory2,1,0.00308291971356649,0.157653727636128,0.0104182956403069,1391.01415047626,1,none
nominal,7,Trajectory2,1,0.00293711770354019,0.153485806112841,0.0105824826592697,1381.02438957952,1,none
nominal,8,Trajectory2,1,0.00306494815017749,0.157577928093194,0.0104002320948758,1390.13624883041,1,none
nominal,9,Trajectory2,1,0.00297732635249057,0.156279834961656,0.0105485907500154,1386.6210466084,1,none
nominal,10,Trajectory2,1,0.00293106003015034,0.15575475586367,0.0108454734367491,1397.91025412001,1,none
mirrored,0,Trajectory2,0,0.0351063803822661,0.25930221581276,0.0298182935208053,-93.5564142674105,1,none
mirrored,1,Trajectory2,1,0.0359750654326834,0.262572802733382,0.0292034047708395,-102.586277448465,1,none
mirrored,2,Trajectory2,1,0.0350861010401454,0.260512447351855,0.0297486536475858,-95.6750629051955,1,none
mirrored,3,Trajectory2,1,0.0354853208711403,0.260675084670608,0.0296200975064866,-87.3216862234543,1,none
mirrored,4,Trajectory2,1,0.035164951751295,0.259065300585785,0.0297423737692785,-85.2471620672083,1,none
mirrored,5,Trajectory2,1,0.0359701360978116,0.262216598808362,0.02927909942095,-100.538108076859,1,none
mirrored,6,Trajectory2,1,0.0354383199022293,0.26026790999944,0.0296628003383175,-102.965987421272,1,none
mirrored,7,Trajectory2,1,0.0356715195907341,0.261071846334249,0.029627178111276,-101.53933525632,1,none
mirrored,8,Trajectory2,1,0.0352818556543039,0.259824348678497,0.0295655429730026,-99.9166583859702,1,none
mirrored,9,Trajectory2,1,0.0351342918206732,0.25893427703035,0.0298752755406737,-95.0816646614216,1,none
mirrored,10,Trajectory2,1,0.0343203170582713,0.256861236071761,0.0304362918006205,-94.5956761996953,1,none
delay2,0,Trajectory2,0,0.00308866359930361,0.15729018216863,0.0105091493953167,1279.51862206376,1,none
delay2,1,Trajectory2,1,0.00315874391904648,0.15808597257984,0.0103474554172133,1222.93319993443,1,none
delay2,2,Trajectory2,1,0.00308982567863173,0.1550823897732,0.0106345107192849,1100.36845718031,1,none
delay2,3,Trajectory2,1,0.00304705472391845,0.155685928615204,0.0105496507863223,1212.63596820967,1,none
delay2,4,Trajectory2,1,0.00307692563107697,0.156301412595013,0.0105573072947919,1299.46236771583,1,none
delay2,5,Trajectory2,1,0.00314842001446427,0.157697593963718,0.010251628976438,1230.13161561881,1,none
delay2,6,Trajectory2,1,0.00314931135401096,0.157273587838525,0.0104290157893875,1219.83778997743,1,none
delay2,7,Trajectory2,1,0.00301158183598011,0.152713439485583,0.0106327166760556,1069.94509468984,1,none
delay2,8,Trajectory2,1,0.00311881389635599,0.156895582374909,0.0104343391278125,1218.17560714526,1,none
delay2,9,Trajectory2,1,0.00302068078440675,0.154466446102783,0.0105955246174532,1159.55925481953,1,none
delay2,10,Trajectory2,1,0.00297060596061732,0.155169654732935,0.0108617418621626,1248.03992843868,1,none
damp2,0,Trajectory2,0,0.00305321517519549,0.158242821868592,0.0104659846764615,1393.3362752341,1,none
damp2,1,Trajectory2,1,0.00308925953444648,0.157859830819573,0.0103177694864707,1384.96846813507,1,none
damp2,2,Trajectory2,1,0.00303455023634652,0.156567658286276,0.0105721122797117,1385.21706568711,1,none
damp2,3,Trajectory2,1,0.00298152458721828,0.156722215329306,0.0105177061745033,1381.64897728005,1,none
damp2,4,Trajectory2,1,0.00303126935853146,0.156944213290593,0.0105234810259821,1392.24981099092,1,none
damp2,5,Trajectory2,1,0.00308639985689327,0.158215276446642,0.0102240989228925,1383.06352720712,1,none
damp2,6,Trajectory2,1,0.00308291971356649,0.157653727636128,0.0104182956403069,1391.01415047626,1,none
damp2,7,Trajectory2,1,0.00293711770354019,0.153485806112841,0.0105824826592697,1381.02438957952,1,none
damp2,8,Trajectory2,1,0.00306494815017749,0.157577928093194,0.0104002320948758,1390.13624883041,1,none
damp2,9,Trajectory2,1,0.00297732635249057,0.156279834961656,0.0105485907500154,1386.6210466084,1,none
damp2,10,Trajectory2,1,0.00293106003015034,0.15575475586367,0.0108454734367491,1397.91025412001,1,none
nominal,0,Mass_inertia,0,0.00343982174006724,0.162381360360088,0.00616001218148947,1543.62272900124,1,none
nominal,1,Mass_inertia,1,0.00366079139743733,0.166094088319442,0.00593590729167227,1497.38231240083,1,none
nominal,2,Mass_inertia,1,0.00334511992643503,0.159777315619019,0.00619045424604362,1528.99032453786,1,none
nominal,3,Mass_inertia,1,0.00349929768900875,0.165328178328948,0.00610859514109591,1509.20043522433,1,none
nominal,4,Mass_inertia,1,0.00366983443227446,0.164851668250968,0.00622189504211032,1338.64374826408,1,none
nominal,5,Mass_inertia,1,0.00361411941173044,0.165510333968568,0.00558902887189322,1495.19355246013,1,none
nominal,6,Mass_inertia,1,0.0035948957044074,0.165629639651059,0.00611829512994286,1509.21913165828,1,none
nominal,7,Mass_inertia,1,0.0034481510002054,0.165139946200041,0.0062677504230671,1522.18723594688,1,none
nominal,8,Mass_inertia,1,0.00364443443954873,0.164283076552116,0.00592113457347669,1391.47016271015,1,none
nominal,9,Mass_inertia,1,0.00349978989374887,0.163995395239433,0.00621267033088747,1458.85628193752,1,none
nominal,10,Mass_inertia,1,0.00338707398888456,0.159477396111966,0.0064699290518664,1391.31544220164,1,none
mirrored,0,Mass_inertia,0,0.0507403692883614,0.288978509077901,0.0200683445692336,-120.032506380867,1,none
mirrored,1,Mass_inertia,1,0.0540275753290855,0.299992323508203,0.0183033637480148,-91.648217631472,1,none
mirrored,2,Mass_inertia,1,0.0512944195406021,0.294571223874866,0.0197668855877076,-173.610909318949,1,none
mirrored,3,Mass_inertia,1,0.0526816797514346,0.296096316998684,0.0193948977347829,-173.290972862175,1,none
mirrored,4,Mass_inertia,1,0.0529276132001813,0.29396203096295,0.0191662805032067,-150.464566752207,1,none
mirrored,5,Mass_inertia,1,0.0535786500488276,0.297637713961203,0.0188849870276112,-151.681122922709,1,none
mirrored,6,Mass_inertia,1,0.0530407027163922,0.298039828767059,0.0195359204151519,-200.471618250579,1,none
mirrored,7,Mass_inertia,1,0.0529482711062893,0.294281984698241,0.019419980977503,-173.926327747004,1,none
mirrored,8,Mass_inertia,1,0.0533538876017583,0.29600539864023,0.0188722505758236,-157.688956979088,1,none
mirrored,9,Mass_inertia,1,0.0522491203720938,0.291726097860755,0.0196352109415665,-172.780329341759,1,none
mirrored,10,Mass_inertia,1,0.0496287288024195,0.28630218532389,0.0213234532442459,-189.187364164102,1,none
delay2,0,Mass_inertia,0,0.00353480019581714,0.164109741295853,0.00622826559665195,1512.78062645034,1,none
delay2,1,Mass_inertia,1,0.00380719923097298,0.169255952166886,0.00604744023904535,1375.04877052405,1,none
delay2,2,Mass_inertia,1,0.00343455231143222,0.16073764528743,0.00622446036426782,1479.15091581514,1,none
delay2,3,Mass_inertia,1,0.0036206992736187,0.166933312358307,0.00611509113785241,1430.64949478854,1,none
delay2,4,Mass_inertia,1,0.00373856799421497,0.165380429312596,0.00644511581663642,1314.58717505686,1,none
delay2,5,Mass_inertia,1,0.00373691272544643,0.167247437008952,0.00548198012326376,1385.57713114766,1,none
delay2,6,Mass_inertia,1,0.00369905392582553,0.167190888450844,0.00630101546782631,1418.39147119568,1,none
delay2,7,Mass_inertia,1,0.00357138747229905,0.166990184296537,0.00628369347052264,1384.09449071465,1,none
delay2,8,Mass_inertia,1,0.00368679881107834,0.165425562546772,0.00597411429035856,1419.14365465089,1,none
delay2,9,Mass_inertia,1,0.00358175447570872,0.164782533325316,0.00639626463701746,1427.9194103372,1,none
delay2,10,Mass_inertia,1,0.00346940063546307,0.161742659832882,0.00648983406198806,1361.89789807651,1,none
damp2,0,Mass_inertia,0,0.00343982174006724,0.162381360360088,0.00616001218148947,1543.62272900124,1,none
damp2,1,Mass_inertia,1,0.00366079139743733,0.166094088319442,0.00593590729167227,1497.38231240083,1,none
damp2,2,Mass_inertia,1,0.00334511992643503,0.159777315619019,0.00619045424604362,1528.99032453786,1,none
damp2,3,Mass_inertia,1,0.00349929768900875,0.165328178328948,0.00610859514109591,1509.20043522433,1,none
damp2,4,Mass_inertia,1,0.00366983443227446,0.164851668250968,0.00622189504211032,1338.64374826408,1,none
damp2,5,Mass_inertia,1,0.00361411941173044,0.165510333968568,0.00558902887189322,1495.19355246013,1,none
damp2,6,Mass_inertia,1,0.0035948957044074,0.165629639651059,0.00611829512994286,1509.21913165828,1,none
damp2,7,Mass_inertia,1,0.0034481510002054,0.165139946200041,0.0062677504230671,1522.18723594688,1,none
damp2,8,Mass_inertia,1,0.00364443443954873,0.164283076552116,0.00592113457347669,1391.47016271015,1,none
damp2,9,Mass_inertia,1,0.00349978989374887,0.163995395239433,0.00621267033088747,1458.85628193752,1,none
damp2,10,Mass_inertia,1,0.00338707398888456,0.159477396111966,0.0064699290518664,1391.31544220164,1,none
nominal,0,Actuator_delay,0,0.00604883202272139,0.213296129396987,0.00450156533064511,1359.90825943441,1,none
nominal,1,Actuator_delay,1,0.0092444533580044,0.252022623419212,0.00471727865817226,1117.12802765518,1,none
nominal,2,Actuator_delay,1,0.00696811716247094,0.226794832357263,0.0043662789349976,1235.45360237478,1,none
nominal,3,Actuator_delay,1,0.0067887887752418,0.226416185633589,0.0053089431124568,1125.48160181033,1,none
nominal,4,Actuator_delay,1,0.0076982984587941,0.229467845354218,0.00508962195936255,931.708873683232,1,none
nominal,5,Actuator_delay,1,0.00903375716642159,0.251546201552189,0.00370742032495033,1198.13066256708,1,none
nominal,6,Actuator_delay,1,0.00780177631794971,0.232624267148911,0.00399519666721151,1250.61317859989,1,none
nominal,7,Actuator_delay,1,0.0071758247685139,0.233438611646334,0.00513181629653806,1212.63556763656,1,none
nominal,8,Actuator_delay,1,0.00867482004471013,0.242153079701698,0.00403032595684281,1031.70543448517,1,none
nominal,9,Actuator_delay,1,0.00695014099851219,0.228383405705788,0.00489353289099662,975.647743720234,1,none
nominal,10,Actuator_delay,1,0.00530691202533928,0.20342470300168,0.00644618975056939,1134.02374893335,1,none
mirrored,0,Actuator_delay,0,0.0738195205424555,0.346039890258627,0.0114652831967296,214.875318067045,1,none
mirrored,1,Actuator_delay,1,0.0815937143498116,0.374516971722319,0.00896378353024058,-35.1575284952809,1,none
mirrored,2,Actuator_delay,1,0.0708946626303439,0.351856951415309,0.011985758134312,-69.2604943861188,1,none
mirrored,3,Actuator_delay,1,0.0760964740937685,0.35800049434859,0.0104536908036892,-2.20544884970038,1,none
mirrored,4,Actuator_delay,1,0.0773886399140578,0.358947249770504,0.00952013977825281,2.48451470727152,1,none
mirrored,5,Actuator_delay,1,0.0804601938438188,0.373746862709957,0.00975950637748659,-104.255717530177,1,none
mirrored,6,Actuator_delay,1,0.0757375313937102,0.366736674788304,0.0110478128179349,-116.662319598065,1,none
mirrored,7,Actuator_delay,1,0.0751355604452365,0.351527487850367,0.0108703353101173,-1.92993912676143,1,none
mirrored,8,Actuator_delay,1,0.0796307321706852,0.369666189279484,0.00936587400656515,-19.650115972758,1,none
mirrored,9,Actuator_delay,1,0.0762721806275252,0.356470348744478,0.0102447942977473,14.1706611913169,1,none
mirrored,10,Actuator_delay,1,0.0669146887353131,0.333760541568503,0.0150679748732091,-198.346212851616,1,none
delay2,0,Actuator_delay,0,0.00602785837408377,0.212990111206892,0.00469492674510874,1432.02495818409,1,none
delay2,1,Actuator_delay,1,0.00935939392384977,0.252521424420566,0.00514521586951148,1044.96750896277,1,none
delay2,2,Actuator_delay,1,0.00697245223271612,0.226883632185488,0.00452187994574134,1190.45994373391,1,none
delay2,3,Actuator_delay,1,0.00680817740336253,0.224963612809872,0.00549135541894013,1099.40307431737,1,none
delay2,4,Actuator_delay,1,0.00799929919113302,0.231152274267369,0.00548268874703737,876.468922274358,1,none
delay2,5,Actuator_delay,1,0.00911427758996518,0.251705305078892,0.00403726347667894,1126.00901280458,1,none
delay2,6,Actuator_delay,1,0.00797143601293338,0.233842817954032,0.00448726797357528,1045.98962710063,1,none
delay2,7,Actuator_delay,1,0.00714774001071126,0.232353026365258,0.00526128691609568,1197.30381886011,1,none
delay2,8,Actuator_delay,1,0.00876511122477752,0.241723139865218,0.00420543267681554,1018.56729603366,1,none
delay2,9,Actuator_delay,1,0.00700380147852032,0.227013772462889,0.00517954422388595,929.969165206703,1,none
delay2,10,Actuator_delay,1,0.00533312651736203,0.202892411848357,0.00654162597689887,1168.09266984546,1,none
damp2,0,Actuator_delay,0,0.00604883202272139,0.213296129396987,0.00450156533064511,1359.90825943441,1,none
damp2,1,Actuator_delay,1,0.0092444533580044,0.252022623419212,0.00471727865817226,1117.12802765518,1,none
damp2,2,Actuator_delay,1,0.00696811716247094,0.226794832357263,0.0043662789349976,1235.45360237478,1,none
damp2,3,Actuator_delay,1,0.0067887887752418,0.226416185633589,0.0053089431124568,1125.48160181033,1,none
damp2,4,Actuator_delay,1,0.0076982984587941,0.229467845354218,0.00508962195936255,931.708873683232,1,none
damp2,5,Actuator_delay,1,0.00903375716642159,0.251546201552189,0.00370742032495033,1198.13066256708,1,none
damp2,6,Actuator_delay,1,0.00780177631794971,0.232624267148911,0.00399519666721151,1250.61317859989,1,none
damp2,7,Actuator_delay,1,0.0071758247685139,0.233438611646334,0.00513181629653806,1212.63556763656,1,none
damp2,8,Actuator_delay,1,0.00867482004471013,0.242153079701698,0.00403032595684281,1031.70543448517,1,none
damp2,9,Actuator_delay,1,0.00695014099851219,0.228383405705788,0.00489353289099662,975.647743720234,1,none
damp2,10,Actuator_delay,1,0.00530691202533928,0.20342470300168,0.00644618975056939,1134.02374893335,1,none
nominal,0,Friction,0,0.00360884521044107,0.170220769361801,0.0070143003482561,1534.72614392174,1,none
nominal,1,Friction,1,0.00447759263443594,0.180250630116806,0.00628343629154312,1437.61714725835,1,none
nominal,2,Friction,1,0.00382029356461723,0.167461773790784,0.00694714543079484,1177.78632291475,1,none
nominal,3,Friction,1,0.00384955590175298,0.174508562694307,0.00701024261469188,1436.04754426635,1,none
nominal,4,Friction,1,0.00359483873183176,0.171787902958771,0.00698981153893203,1480.03460525192,1,none
nominal,5,Friction,1,0.00439075362353623,0.180372138182456,0.00588567517136466,1430.77900264477,1,none
nominal,6,Friction,1,0.00404481352561626,0.173544155969188,0.00685093218455925,1347.72818520537,1,none
nominal,7,Friction,1,0.00421999701874087,0.17995131420505,0.00713798938169643,1271.25524581165,1,none
nominal,8,Friction,1,0.00391210334282559,0.176252423703951,0.00629660612402363,1476.34847982569,1,none
nominal,9,Friction,1,0.00370272069169966,0.176467445870162,0.00703095276890257,1461.93282648514,1,none
nominal,10,Friction,1,0.00305319372861413,0.161587455903393,0.00786093897332303,1436.45649942918,1,none
mirrored,0,Friction,0,0.0581755182351276,0.311314359633824,0.0149396395287454,134.033065480865,1,none
mirrored,1,Friction,1,0.0627723248046641,0.325844685436025,0.0128763068600148,213.785077819951,1,none
mirrored,2,Friction,1,0.0584087502121679,0.316253259105603,0.0152822294706679,26.7811995026054,1,none
mirrored,3,Friction,1,0.0600785266765207,0.318305573983673,0.0147837630864114,89.6460599322778,1,none
mirrored,4,Friction,1,0.0600979315249193,0.315008605372433,0.0148319412181249,45.0747577712378,1,none
mirrored,5,Friction,1,0.06233002978959,0.323626895118349,0.0135612289172081,144.92023160196,1,none
mirrored,6,Friction,1,0.0598259912031494,0.320776965744318,0.015628294155164,-53.8558845616389,1,none
mirrored,7,Friction,1,0.0605294113780154,0.315728642715526,0.0148078157755135,64.1868729100096,1,none
mirrored,8,Friction,1,0.0613048322475485,0.320408471280129,0.0140461774688617,75.2303776167737,1,none
mirrored,9,Friction,1,0.0599199917896437,0.31477158160374,0.0150804999088778,53.6358126657768,1,none
mirrored,10,Friction,1,0.0554877358948466,0.304781537287804,0.0177022454217012,-77.9004486179565,1,none
delay2,0,Friction,0,0.00367723502483153,0.171551624788544,0.00695627583628597,1451.39020172,1,none
delay2,1,Friction,1,0.00457378275540734,0.181998026495924,0.00639291654372755,1330.9535926123,1,none
delay2,2,Friction,1,0.00389013164964498,0.167323107080271,0.006820282625696,1084.90047281835,1,none
delay2,3,Friction,1,0.00399174177180224,0.175041349128747,0.00672163236122624,1271.52481078467,1,none
delay2,4,Friction,1,0.00386962575785584,0.173752121231426,0.00693431374993063,1272.69394839336,1,none
delay2,5,Friction,1,0.00448054375003526,0.182579410818859,0.00569569949230135,1291.33503076438,1,none
delay2,6,Friction,1,0.00414679644181283,0.175586914329839,0.00691400273998637,1281.30088634971,1,none
delay2,7,Friction,1,0.00426680886165173,0.1812881723455,0.0069659903239933,1114.45195415603,1,none
delay2,8,Friction,1,0.00404575899385485,0.175451099649891,0.00622494331926697,1361.44298060972,1,none
delay2,9,Friction,1,0.00375049507107551,0.177108450460279,0.00705322246165687,1336.35052153234,1,none
delay2,10,Friction,1,0.00307250122482387,0.16118473303901,0.00791056932050242,1322.77643328811,1,none
damp2,0,Friction,0,0.00360884521044107,0.170220769361801,0.0070143003482561,1534.72614392174,1,none
damp2,1,Friction,1,0.00447759263443594,0.180250630116806,0.00628343629154312,1437.61714725835,1,none
damp2,2,Friction,1,0.00382029356461723,0.167461773790784,0.00694714543079484,1177.78632291475,1,none
damp2,3,Friction,1,0.00384955590175298,0.174508562694307,0.00701024261469188,1436.04754426635,1,none
damp2,4,Friction,1,0.00359483873183176,0.171787902958771,0.00698981153893203,1480.03460525192,1,none
damp2,5,Friction,1,0.00439075362353623,0.180372138182456,0.00588567517136466,1430.77900264477,1,none
damp2,6,Friction,1,0.00404481352561626,0.173544155969188,0.00685093218455925,1347.72818520537,1,none
damp2,7,Friction,1,0.00421999701874087,0.17995131420505,0.00713798938169643,1271.25524581165,1,none
damp2,8,Friction,1,0.00391210334282559,0.176252423703951,0.00629660612402363,1476.34847982569,1,none
damp2,9,Friction,1,0.00370272069169966,0.176467445870162,0.00703095276890257,1461.93282648514,1,none
damp2,10,Friction,1,0.00305319372861413,0.161587455903393,0.00786093897332303,1436.45649942918,1,none
nominal,0,CDR2-4,0,0.00346982044332695,0.173520616130402,0.00676901367688588,1560.96873812675,1,none
nominal,1,CDR2-4,1,0.00450674893043927,0.190258840190517,0.00615175565538437,1417.00960019671,1,none
nominal,2,CDR2-4,1,0.00386990724706708,0.179327969658556,0.00658011126603631,1461.75927758891,1,none
nominal,3,CDR2-4,1,0.0036559850140679,0.178411295322666,0.00695924740865415,1459.50285073436,1,none
nominal,4,CDR2-4,1,0.00389518403666837,0.178652293651711,0.00698230371115828,1441.44273904755,1,none
nominal,5,CDR2-4,1,0.00437007341831937,0.188228977307622,0.00557862713194235,1441.45957521098,1,none
nominal,6,CDR2-4,1,0.0040731684309009,0.181451812432235,0.00653874209195429,1449.45731514985,1,none
nominal,7,CDR2-4,1,0.00366844218638511,0.176101003191673,0.00689145509022947,1455.4898699117,1,none
nominal,8,CDR2-4,1,0.00427264071953079,0.185428408212465,0.00618900978495612,1393.24877212752,1,none
nominal,9,CDR2-4,1,0.00361335531107401,0.1764335974736,0.00694364607498191,1463.27958525365,1,none
nominal,10,CDR2-4,1,0.00316447586294387,0.167811399763447,0.00765218466911359,1518.7199315996,1,none
mirrored,0,CDR2-4,0,0.0592275735213175,0.318108530785171,0.0107364975842442,317.087890882518,1,none
mirrored,1,CDR2-4,1,0.066970408429543,0.340465385954751,0.00746567132110548,203.844769434593,1,none
mirrored,2,CDR2-4,1,0.0604150503664752,0.326427306202623,0.0107433667165489,223.46149355364,1,none
mirrored,3,CDR2-4,1,0.0626361789085612,0.327559072626939,0.00983207485776764,212.051328684004,1,none
mirrored,4,CDR2-4,1,0.0638288271800449,0.329743928340612,0.00904716093563488,213.974786266963,1,none
mirrored,5,CDR2-4,1,0.065216730029913,0.337199806373383,0.0085895958854465,185.174210615868,1,none
mirrored,6,CDR2-4,1,0.0632756314849653,0.331023458687372,0.010078453918027,189.509642965749,1,none
mirrored,7,CDR2-4,1,0.0618148277072473,0.325820996755953,0.0101043257199398,218.748312264556,1,none
mirrored,8,CDR2-4,1,0.0651757310085072,0.33470599307962,0.00846140634930566,186.906001870654,1,none
mirrored,9,CDR2-4,1,0.0633890285254397,0.331395608425557,0.00982762859640821,209.709482075037,1,none
mirrored,10,CDR2-4,1,0.0573308224165,0.315233519713114,0.0134268206525064,163.818112729677,1,none
delay2,0,CDR2-4,0,0.00350877730078867,0.174085652522135,0.00701331039111873,1543.6512385839,1,none
delay2,1,CDR2-4,1,0.00463585514746649,0.192345156604077,0.00641742217721796,1373.16147001075,1,none
delay2,2,CDR2-4,1,0.0040074932233707,0.180768314035468,0.00683514859523453,1360.94787887885,1,none
delay2,3,CDR2-4,1,0.00375108165575868,0.178891159316525,0.00727286503042802,1420.93594401331,1,none
delay2,4,CDR2-4,1,0.00413074539550327,0.180718279911517,0.00748173633891897,1336.63054617647,1,none
delay2,5,CDR2-4,1,0.00449090595462362,0.189558538219323,0.00572011750721502,1396.47208980956,1,none
delay2,6,CDR2-4,1,0.00430734392201604,0.184031920099318,0.00693257482276406,1366.47279464922,1,none
delay2,7,CDR2-4,1,0.00373611283839099,0.176631051531685,0.00712276079833522,1444.09279479065,1,none
delay2,8,CDR2-4,1,0.00437857361537748,0.185976473062419,0.00637262735766389,1360.45200769063,1,none
delay2,9,CDR2-4,1,0.00372944772144393,0.176771757911405,0.00728950295833002,1434.629383863,1,none
delay2,10,CDR2-4,1,0.00322472300642283,0.168467134712491,0.0077842414935451,1484.59073709225,1,none
damp2,0,CDR2-4,0,0.00346982044332695,0.173520616130402,0.00676901367688588,1560.96873812675,1,none
damp2,1,CDR2-4,1,0.00450674893043927,0.190258840190517,0.00615175565538437,1417.00960019671,1,none
damp2,2,CDR2-4,1,0.00386990724706708,0.179327969658556,0.00658011126603631,1461.75927758891,1,none
damp2,3,CDR2-4,1,0.0036559850140679,0.178411295322666,0.00695924740865415,1459.50285073436,1,none
damp2,4,CDR2-4,1,0.00389518403666837,0.178652293651711,0.00698230371115828,1441.44273904755,1,none
damp2,5,CDR2-4,1,0.00437007341831937,0.188228977307622,0.00557862713194235,1441.45957521098,1,none
damp2,6,CDR2-4,1,0.0040731684309009,0.181451812432235,0.00653874209195429,1449.45731514985,1,none
damp2,7,CDR2-4,1,0.00366844218638511,0.176101003191673,0.00689145509022947,1455.4898699117,1,none
damp2,8,CDR2-4,1,0.00427264071953079,0.185428408212465,0.00618900978495612,1393.24877212752,1,none
damp2,9,CDR2-4,1,0.00361335531107401,0.1764335974736,0.00694364607498191,1463.27958525365,1,none
damp2,10,CDR2-4,1,0.00316447586294387,0.167811399763447,0.00765218466911359,1518.7199315996,1,none
nominal,0,CDR1-4,0,0.0103500329634861,0.26150903451218,0.00972928622442418,1269.35383255002,1,none
nominal,1,CDR1-4,1,0.00978287177473689,0.258917198923042,0.00837987749556415,1262.1727888001,1,none
nominal,2,CDR1-4,1,0.0097549127881494,0.259202658693752,0.00745335209035368,1287.27459786386,1,none
nominal,3,CDR1-4,1,0.00949415252172918,0.256601394944757,0.00748089144253564,1271.18174653629,1,none
nominal,4,CDR1-4,1,0.00974327712182176,0.256635449900163,0.0077344468037053,1259.79792604259,1,none
nominal,5,CDR1-4,1,0.00971986501801432,0.258595635606664,0.00743620206626312,1290.98597930835,1,none
nominal,6,CDR1-4,1,0.00918829812843736,0.253865843625901,0.00647823595624149,1290.86956736342,1,none
nominal,7,CDR1-4,1,0.00926027365573871,0.252189905788735,0.00740012035263821,1289.18740111717,1,none
nominal,8,CDR1-4,1,0.00974085972716389,0.257541112010763,0.00737225502627661,1237.47461332891,1,none
nominal,9,CDR1-4,1,0.00968128669492229,0.254868410141154,0.00753509152556486,1259.06703108513,1,none
nominal,10,CDR1-4,1,0.00955280106426415,0.256370105642141,0.00621877181361441,1290.54636926717,1,none
mirrored,0,CDR1-4,0,0.0699739362521454,0.342520738358458,0.0100082189881584,261.089616487622,1,none
mirrored,1,CDR1-4,1,0.0698807222506628,0.343086136623231,0.0103561773348691,250.549446928257,1,none
mirrored,2,CDR1-4,1,0.0687346269169783,0.340980066124416,0.0109285757016601,244.355583834264,1,none
mirrored,3,CDR1-4,1,0.0692718866216166,0.340304076370647,0.010846873864081,225.710806490386,1,none
mirrored,4,CDR1-4,1,0.0702185989516953,0.342985804280428,0.0105817082862468,238.736391052439,1,none
mirrored,5,CDR1-4,1,0.069956446826641,0.342924708862601,0.0108207032565071,228.337171042834,1,none
mirrored,6,CDR1-4,1,0.0689785259670565,0.33936748970027,0.0114669535137492,244.571096136849,1,none
mirrored,7,CDR1-4,1,0.0694592363602519,0.341000344263384,0.0107479770698794,223.026595271819,1,none
mirrored,8,CDR1-4,1,0.0704094605491919,0.343240892369868,0.0106383764189613,223.163962793773,1,none
mirrored,9,CDR1-4,1,0.0703483950128238,0.343095393731177,0.0108046936551318,236.802348266877,1,none
mirrored,10,CDR1-4,1,0.0690942651253971,0.340087591119716,0.0114888802487943,264.739631978115,1,none
delay2,0,CDR1-4,0,0.0103348720888154,0.261382876838219,0.00984350407511443,1245.36199725326,1,none
delay2,1,CDR1-4,1,0.00982059239861045,0.259436577169919,0.00859452852833761,1243.7220878767,1,none
delay2,2,CDR1-4,1,0.0097689933493499,0.259284988476488,0.0077028090234808,1262.84248168233,1,none
delay2,3,CDR1-4,1,0.00946351844169457,0.256222270477704,0.00751427190759459,1272.23789138001,1,none
delay2,4,CDR1-4,1,0.00982213737364078,0.256989224147694,0.00833705226366927,1234.06834058726,1,none
delay2,5,CDR1-4,1,0.00971589969634098,0.258662843533016,0.00746372886964856,1285.77555906384,1,none
delay2,6,CDR1-4,1,0.0092271259678483,0.253997349427345,0.00700878580181855,1265.2570775534,1,none
delay2,7,CDR1-4,1,0.00926512268225697,0.252087490878842,0.00760296946837494,1280.927672586,1,none
delay2,8,CDR1-4,1,0.00972480419254558,0.257504710682997,0.00742252681579512,1246.36976953668,1,none
delay2,9,CDR1-4,1,0.00963507139468227,0.254236452369723,0.00767788524960421,1244.11170185298,1,none
delay2,10,CDR1-4,1,0.00957017002949186,0.25663807628908,0.00648622468091054,1274.20992183846,1,none
damp2,0,CDR1-4,0,0.0103500329634861,0.26150903451218,0.00972928622442418,1269.35383255002,1,none
damp2,1,CDR1-4,1,0.00978287177473689,0.258917198923042,0.00837987749556415,1262.1727888001,1,none
damp2,2,CDR1-4,1,0.0097549127881494,0.259202658693752,0.00745335209035368,1287.27459786386,1,none
damp2,3,CDR1-4,1,0.00949415252172918,0.256601394944757,0.00748089144253564,1271.18174653629,1,none
damp2,4,CDR1-4,1,0.00974327712182176,0.256635449900163,0.0077344468037053,1259.79792604259,1,none
damp2,5,CDR1-4,1,0.00971986501801432,0.258595635606664,0.00743620206626312,1290.98597930835,1,none
damp2,6,CDR1-4,1,0.00918829812843736,0.253865843625901,0.00647823595624149,1290.86956736342,1,none
damp2,7,CDR1-4,1,0.00926027365573871,0.252189905788735,0.00740012035263821,1289.18740111717,1,none
damp2,8,CDR1-4,1,0.00974085972716389,0.257541112010763,0.00737225502627661,1237.47461332891,1,none
damp2,9,CDR1-4,1,0.00968128669492229,0.254868410141154,0.00753509152556486,1259.06703108513,1,none
damp2,10,CDR1-4,1,0.00955280106426415,0.256370105642141,0.00621877181361441,1290.54636926717,1,none
