SpaceKinova eingerichtet: C:\Users\Deermste\Documents\FraUas\BachelorThesis\Matlab
Starting parallel pool (parpool) using the 'Processes' profile ...
Preserving jobs with IDs: 2 because they contain crash dump files.
You can use 'delete(myCluster.Jobs)' to remove all jobs created with profile Processes. To create 'myCluster' use 'myCluster = parcluster('Processes')'.
Connected to parallel pool with 8 workers.
D10: 40 Hz, Seed 0, 1000 Episoden, 8 Worker, Solver 0.005 s
Episode:   1/1000 | Episode reward:  -522.98 | Episode steps:  218 | Average reward:  -522.98 | Step Count:  218 | Episode Q0:     0.00
Episode:  53/1000 | Episode reward:  -438.39 | Episode steps:  340 | Average reward:  -298.04 | Step Count: 17758 | Episode Q0:    36.79
Episode:  54/1000 | Episode reward:  -282.11 | Episode steps:  340 | Average reward:  -277.56 | Step Count: 18098 | Episode Q0:    36.79
Episode:  55/1000 | Episode reward:  -351.25 | Episode steps:  338 | Average reward:  -284.14 | Step Count: 18436 | Episode Q0:    36.79
Episode:  56/1000 | Episode reward:  -281.32 | Episode steps:  340 | Average reward:  -282.54 | Step Count: 18776 | Episode Q0:    36.79
Episode:  57/1000 | Episode reward:  -426.94 | Episode steps:  340 | Average reward:  -293.06 | Step Count: 19116 | Episode Q0:    39.27
Episode:  58/1000 | Episode reward:  -160.60 | Episode steps:  340 | Average reward:  -281.13 | Step Count: 19456 | Episode Q0:    39.27
Episode:  59/1000 | Episode reward:  -189.40 | Episode steps:  340 | Average reward:  -284.65 | Step Count: 19796 | Episode Q0:    39.27
Episode:  60/1000 | Episode reward:  -340.86 | Episode steps:  340 | Average reward:  -282.07 | Step Count: 20136 | Episode Q0:    39.27
Episode:  61/1000 | Episode reward:  -331.68 | Episode steps:  340 | Average reward:  -270.53 | Step Count: 20476 | Episode Q0:    39.27
Episode:  62/1000 | Episode reward:  -437.70 | Episode steps:  340 | Average reward:  -285.28 | Step Count: 20816 | Episode Q0:    39.27
Episode:  63/1000 | Episode reward:  -360.64 | Episode steps:  338 | Average reward:  -288.98 | Step Count: 21154 | Episode Q0:    38.55
Episode:  64/1000 | Episode reward:  -302.94 | Episode steps:  330 | Average reward:  -292.19 | Step Count: 21484 | Episode Q0:    38.55
Episode:  65/1000 | Episode reward:  -280.27 | Episode steps:  340 | Average reward:  -289.10 | Step Count: 21824 | Episode Q0:    38.55
Episode:  66/1000 | Episode reward:  -194.54 | Episode steps:  340 | Average reward:  -288.97 | Step Count: 22164 | Episode Q0:    38.55
Episode:  67/1000 | Episode reward:  -340.02 | Episode steps:  313 | Average reward:  -294.73 | Step Count: 22477 | Episode Q0:    38.55
Episode:  68/1000 | Episode reward:  -226.71 | Episode steps:  324 | Average reward:  -294.96 | Step Count: 22801 | Episode Q0:    38.55
Episode:  69/1000 | Episode reward:  -344.37 | Episode steps:  340 | Average reward:  -294.98 | Step Count: 23141 | Episode Q0:    38.55
Episode:  70/1000 | Episode reward:  -288.27 | Episode steps:  340 | Average reward:  -297.89 | Step Count: 23481 | Episode Q0:    44.09
Episode:  71/1000 | Episode reward:  -407.69 | Episode steps:  333 | Average reward:  -306.23 | Step Count: 23814 | Episode Q0:    44.09
