agent,cond,det_K1,det_K2,det_K3,det_K7,det_completed,sto_K1,sto_K1_std,sto_K2,sto_K3,sto_K7,sto_completion
Friction,damp2,0.00360884521044107,0.170220769361801,0.0070143003482561,1534.72614392174,1,0.00390658627636706,0.000415739666048906,0.174218380339487,0.00682937304798315,1395.59858590932,1
Friction,combined,0.00528220037421684,0.196334908225848,0.011676246043585,1060.12944264956,1,0.00557186409330354,0.000404737495425273,0.199195917694994,0.0113833229577608,908.147932776879,1
CDR2-4,nominal,0.00346982044332695,0.173520616130402,0.00676901367688588,1560.96873812675,1,0.00390899811573967,0.000407486069184267,0.180210559720449,0.00664670828844109,1450.13695168208,1
CDR2-4,mirrored,0.0592275735213175,0.318108530785171,0.0107364975842442,317.087890882518,1,0.0630053236057197,0.00272201652724184,0.329957507615992,0.00975765049526905,200.719814046074,1
CDR2-4,mass25,0.00456930472584344,0.192065534696069,0.0112325200961449,1474.94455151029,1,0.00504443067503326,0.000328746968653164,0.19821197858435,0.0111857322221687,1260.78395636932,1
CDR2-4,delay2,0.00350877730078867,0.174085652522135,0.00701331039111873,1543.6512385839,1,0.0040392282480374,0.000433421833817756,0.181415978540423,0.00692289970796528,1397.83856469747,1
CDR2-4,damp2,0.00346982044332695,0.173520616130402,0.00676901367688588,1560.96873812675,1,0.00390899811573967,0.000407486069184267,0.180210559720449,0.00664670828844109,1450.13695168208,1
CDR2-4,combined,0.00460288936962765,0.192430516192439,0.0117188423688211,1470.63581151566,1,0.00513180825573504,0.000342291036912834,0.198958818412414,0.0117887654461126,1167.78372291297,1
CDR1-4,nominal,0.0103500329634861,0.26150903451218,0.00972928622442418,1269.35383255002,1,0.0095918598494978,0.00021511398305163,0.256478771527707,0.00734892445727575,1273.8558020713,1
CDR1-4,mirrored,0.0699739362521454,0.342520738358458,0.0100082189881584,261.089616487622,1,0.0696352164582315,0.000606427111409548,0.341707250344574,0.010868091934988,237.999303379561,1
CDR1-4,mass25,0.00974912141802568,0.257142273786172,0.0197397852182109,875.450698522896,1,0.00941724338793389,0.000153858531901057,0.255466352066801,0.0154097824749845,1092.88021545465,1
CDR1-4,delay2,0.0103348720888154,0.261382876838219,0.00984350407511443,1245.36199725326,1,0.00960134355264617,0.000217939964563072,0.256505998345281,0.00758107826092342,1260.95225039577,1
CDR1-4,damp2,0.0103500329634861,0.26150903451218,0.00972928622442418,1269.35383255002,1,0.0095918598494978,0.00021511398305163,0.256478771527707,0.00734892445727575,1273.8558020713,1
CDR1-4,combined,0.0097518290810612,0.257155592184388,0.0198613490941837,879.345820097419,1,0.0094314893123485,0.000156633062660157,0.255572049946815,0.0157653254247108,1054.93976624578,1
